"Department","Payroll Number","Contribution","Product Balance","Beneficiary","Product Credit Code","Entry Type","Your Reference"
"Swizzsoft Main","0007998","65000.00","65000.00","Mr Dorothy Mogoi","1","sLoan","DEV-SCHEDULED-PRINCIPAL"
"Swizzsoft Main","0007998","0.00","0.00","Mr Dorothy Mogoi","1","sInterest","DEV-INTEREST-ZERO-DUE"
"Swizzsoft Main","333222133","23333.33","70000.00","Mr Seline Kimeli","2","sLoan","DEV-SCHEDULED-PRINCIPAL"
"Swizzsoft Main","333222133","0.00","0.00","Mr Seline Kimeli","2","sInterest","DEV-INTEREST-ZERO-DUE"
"Swizzsoft Main","UIC002","6666.66","80000.00","Mr NAFTALI ODALO","3","sLoan","DEV-SCHEDULED-PRINCIPAL"
"Swizzsoft Main","UIC002","0.00","0.00","Mr NAFTALI ODALO","3","sInterest","DEV-INTEREST-ZERO-DUE"
"Swizzsoft Main","00998877765l","100.00","10000.00","Mr Ernest Muriithi","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","999887565","100.00","12000.00","Mr Alfred Otieno","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","333222133","100.00","10000.00","Mr Seline Kimeli","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","UIC002","100.00","0.00","Mr NAFTALI ODALO","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","UIC002","100.00","10000.00","Mr NAFTALI ODALO","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","00998877765l","100.00","10000.00","Mr Ernest Muriithi","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","0007998","100.00","10000.00","Mr Dorothy Mogoi","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","999887565","100.00","10000.00","Mr Alfred Otieno","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","00098543","100.00","0.00","Mr Godwell Mogoi","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","KRA001","100.00","0.00","Dr SAMWEL WARUHIU","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","KRA001","100.00","0.00","Dr SAMWEL WARUHIU","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","KRA00077","100.00","0.00","Dr Wilfred Wanyoike","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","KRA00077","100.00","0.00","Dr Wilfred Wanyoike","2","sInvest","DEV-CONTRIBUTION-100"
"Swizzsoft Main","KENSN001","100.00","0.00","Dr Samwel Waruhiu","1","sShare","DEV-CONTRIBUTION-100"
"Swizzsoft Main","KENSN001","100.00","0.00","Dr Samwel Waruhiu","2","sInvest","DEV-CONTRIBUTION-100"
